movietitle,year
Death of a Superhero,2012
Centurion,2010
L'Invité,2008
The Shipping News,2002
The Echo,2011
Mein Führer - Die wirklich wahrste Wahrheit über Adolf Hitler,2007
Hope Springs,2012
Miss Congeniality 2: Armed and Fabulous,2005
Evan Almighty,2007
The Whistleblower,2011
Sunshine Barry and the Disco Worms,2009
"Ce soir, je dors chez toi",2007
In Bruges,2008
Invincible,2007
Lord of War,2006
Plastic Planet,2012
The Heartbreak Kid,2007
Shattered Glass,2004
10 Items or Less,2006
The Sorcerer's Apprentice,2010
Forgetting Sarah Marshall,2008
Hotel,2003
The Men Who Stare at Goats,2010
Step Up 2 the Streets,2008
Sahara,2005
Michael Jackson's This Is It,2009
Amelie,2001
Warrior,2011
Rabbit-Proof Fence,2003
MIB 3,2012
Transformers 3,2011
The Door (2012),2012
La cerise sur le gâteau,2012
"Hexe Lilli, der Drache und das magische Buch",2009
Ajami,2011
"He Loves Me, He Loves Me Not (À la folie... pas du tout)",2002
The Night Listener,2006
The Spirit,2008
Lucky Number Slevin,2006
The Lovely Bones,2010
Mona Lisa Smile,2004
Twelve and Holding,2007
Ocean's Twelve,2005
Insomnia,2002
The Strange Case of Angelica,2011
Miss Potter,2007
"He Loves Me, He Loves Me Not (À la folie... pas du tout)",2003
Battle for Terra,2010
21,2008
The Oranges,2012
Alex Cross,2012
Dance Flick,2009
Wall Street: Money Never Sleeps,2010
Snow Dogs,2002
Just Go With It,2011
And Soon the Darkness,2011
Here (2012),2012
Renaissance,2007
The Fast Runner (Atanarjuat),2009
Ajab Prem Ki Ghazab Kahani,2009
The Dancer Upstairs,2003
Coraline,2009
Nocturna,2009
Impardonnables,2011
The Mist,2008
Before Sunset,2004
The Fog,2006
Secretary,2003
The Boys and Girl from County Clare,2005
Charlie St. Cloud,2010
The Tracker,2002
Lauras Stern,2005
Angels & Demons,2009
Saint-Jacques... La mecque,2008
The Wind That Shakes the Barley,2007
Sucker Punch,2011
Le Fils (The Son),2006
Ye yan (The Banquet),2007
Hall Pass,2011
À l'origine,2009
Marathon,2005
Chicago,2003
The Break-Up,2006
Sky Captain and the World of Tomorrow,2004
"Donnant, donnant",2010
North Country,2006
Puss in Boots,2011
La Maison du bonheur,2006
The Twilight Saga: Eclipse,2010
Chi bi (Red Cliff: Part I),2008
4:44: Last Day on Earth,2012
Sorority Row,2010
Alvin and the Chipmunks,2007
The Mist,2008
Azumi,2003
The Ring Two,2005
Boku no hatsukoi wo kimi ni sasagu (I Give My First Love to You),2009
Forgetting Sarah Marshall,2008
Beowulf,2007
Surf's Up,2007
Dirty Dancing: Havana Nights,2004
Three (2005),2008
The Spiderwick Chronicles,2008
Pee Chang Nang (The Screen),2008
The Exorcist Director's Cut,2001
Harry Potter and the Prisoner of Azkaban,2004
The King,2006
The Magdalene Sisters,2003
The Last House on the Left (2009),2009
The Raven,2012
8 femmes,2002
Ssanghwajeom (A Frozen Flower),2009
Material Girls,2006
The Avengers (2012),2012
The Skeleton Key,2005
The Eagle,2011
Son of the Mask,2005
The Passion of the Christ,2004
Cheeni Kum,2007
Little Miss Sunshine,2006
Valentine's Day,2010
127 Hours,2011
The Bounty Hunter,2010
Blue Crush,2002
What to Expect When You're Expecting,2012
Tôkyô sonata,2009
"She, a Chinese",2010
Ocean's Twelve,2005
The Mexican,2001
Just Go With It,2011
The Fall,2008
252: Seizonsha ari (252: Signal of Life ),2009
Becoming Jane,2007
1408,2007
Primer,2004
Zathura,2006
Flood (2007),2008
Shrek the Third,2007
The Covenant,2006
To Rome with Love,2012
Sex Drive,2009
La Zona,2008
The Golden Compass,2007
The Accidental Husband,2008
Tower Heist,2012
La Môme (La Vie en Rose),2008
The Guard,2011
Raavanan (Raavan dupe),2010
The Wolfman,2010
The Chronicles of Riddick,2004
Batoru rowaiaru (Battle Royale),2002
Ronal Barbaren (Ronal the Barbarian),2011
Machete,2010
The Scorpion King,2008
Shutter,2008
Cinderella Man,2005
Marmaduke,2010
Jodaeiye Nader az Simin (A Seperation),2011
Bend It Like Beckham,2002
W.,2008
The Inbetweeners Movie,2011
Grindhouse: Planet Terror,2007
The Guard,2011
Step Up 2 the Streets,2008
Paranormal Activity,2010
The Secret Life of Words,2007
Breach,2007
"Bruce Lee, My Brother",2010
United 93,2006
Mission: Impossible - Ghost Protocol,2011
Show de Bola,2008
Domino,2006
Fantastic Four: Rise of the Silver Surfer,2007
Kiss of the Dragon,2001
My Boss's Daughter,2004
Mirror Mirror,2012
Collateral,2004
Back to 1942,2012
Romance and Cigarettes,2006
Labor Pains,2010
The Guru,2002
Machete,2010
The Mother,2004
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010
Autobahnraser,2004
Knowing,2009
A Serious Man,2009
Gangs of New York,2003
Love in the Buff,2012
Ong Bak: The Thai Warrior,2004
Sky High,2005
El Cantante,2008
Wrong Turn,2003
Pettson & Findus - Glömligheter,2009
Liverpool,2009
Paradies: Liebe,2012
Piano no Mori (The Perfect World of Kai),2009
Clash of the Titans (2010),2010
Brick,2006
Role Models,2009
Be Cool,2005
La Moustache,2006
True Grit,2011
Pars: Kiraz operasyonu,2007
The Night Listener,2007
Darling Companion,2012
Dil Toh Baccha Hai Ji,2011
Haru no yuki,2007
Ferrari Ki Sawaari,2012
A Complete History of My Sexual Failures,2008
The Polar Express,2004
George A. Romero's Diary of the Dead,2008
Michael Jackson's This Is It,2009
Certified Copy,2011
Das Leben der Anderen (The Lives of Others),2007
Eagle Eye,2008
The Bourne Legacy,2012
Ronal Barbaren (Ronal the Barbarian),2011
Ji jie hao (Assembly),2007
George A. Romero's Diary of the Dead,2008
Wassup Rockers,2007
Wicker Park,2005
Land of the Lost,2009
Dare mo shiranai (Nobody Knows),2005
Prince of Persia: The Sands of Time,2010
Salt,2010
The Bourne Legacy,2012
Shallow Hal,2002
Alien vs. Predator - Requiem,2008
DodgeBall: A True Underdog Story,2004
Kunsten å tenke negativt (The Art of Negative Thinking),2008
Failure to Launch,2006
Bulletproof Monk,2003
Anchorman: The Legend of Ron Burgundy,2004
The Exorcism of Emily Rose,2005
Out of Time,2003
Hoodwinked,2011
Eros,2005
Million Dollar Baby,2005
Le Silence de lorna (Lorna's Silence),2008
Tenderness,2009
Requiem pour une tueuse,2011
House of Wax,2005
Tara Road,2005
The Omen (2006),2006
Keep the Lights On,2012
Piranha 3DD,2012
Thick as Thieves,2009
Picture Me,2010
Weisse Lilien,2008
The Twilight Saga: Breaking Dawn Part 1,2011
17 Again,2009
In the Valley of Elah,2008
The Prestige,2006
There Will Be Blood,2008
The Human Resources Manager,2011
Guan yun chang (The Lost Bladesman),2011
Mars Needs Moms,2011
El amigo alemán,2012
Eagle Eye,2008
Don't Be Afraid of the Dark,2011
"Patrik 1,5",2009
The Dancer Upstairs,2003
Amen,2003
Salmon Fishing in the Yemen,2012
The Woodsman,2005
Kahaani,2012
Rambo,2008
Bridget Jones: The Edge of Reason,2004
The League of Extraordinary Gentlemen,2003
Rush Hour 3,2007
North Face,2010
Ne le dis à personne (Tell No One),2007
Blackthorn,2011
Atonement,2008
Zivot je cudo (Life is a Miracle),2006
L: Change the World,2008
La Strada di Levi (Primo Levi's Journey),2008
Pirates of the Caribbean: At World's End,2007
What to Expect When You're Expecting,2012
Last Chance Harvey,2009
No Reservations,2007
The Smurfs,2011
Not Forgotten,2009
Chaos (2005),2006
The Unborn (2009),2009
The Time Traveler's Wife,2009
Legion (2010),2010
Soul Power,2009
One Day,2011
Little Fockers,2011
The King's Speech,2011
Klip,2012
Ghosts of Girlfriends Past,2009
Fright Night (2011),2011
Shutter Island,2010
XXY,2008
Waitress,2007
Black Swan,2011
Christmas with the Kranks,2004
Quiéreme,2007
La Playa de los Galgos,2002
You Don't Mess with the Zohan,2008
Bee Movie,2007
300,2007
London River,2010
La Zona,2008
Flags of Our Fathers,2007
Rec,2009
The In-Laws,2004
The Hunter (2011),2011
The Time Traveler's Wife,2009
Rare Exports: A Christmas Tale,2010
Bad Education (La Mala educación),2004
Zack and Miri Make a Porno,2009
Midnight in Paris,2011
Raising Helen,2004
End of Watch,2012
Behind Enemy Lines,2002
Arthur et la vengeance de Maltazard,2009
The Golden Compass,2007
El Bonaerense,2003
From Within,2009
120,2008
Ocean's Thirteen,2007
Black Sheep (2007),2007
Shutter Island,2010
The Sorcerer's Apprentice,2010
Lucky You,2007
Revanche,2009
Talk to Her (Hable con ella),2002
Chloe,2010
Kantoku · Banzai!,2007
No Strings Attached,2011
Sideways,2005
We Bought a Zoo,2011
Seres queridos,2005
The Exorcism of Emily Rose,2005
Bernie,2012
Enchanted,2007
500 Days of Summer,2009
The Bourne Ultimatum,2007
Mayday 3DNA,2011
Hottarake no shima - Haruka to maho no kagami (Oblivion Island: Haruka and the Magic Mirror),2009
Matchstick Men,2003
Dialogue avec mon jardinier,2007
fear dot com,2002
Carancho,2010
The Cold Light of Day,2012
Sans rancune,2009
Twilight,2009
Fireflies in the Garden,2009
French Film,2009
Deja Vu,2006
Blades of Glory,2007
The Runaways,2010
Toy Story in 3D,2010
Drillbit Taylor,2008
Hôtai Club,2008
A Serious Man,2010
Fool's Gold,2008
Encarnación,2007
I Love You Man,2009
Le capital,2012
A Song to the Sun,2006
Trigger,2007
Changeling,2009
Le concert (2009),2010
The Ghost Writer,2010
Oldboy,2004
Beautiful Boy,2011
The Game Plan,2008
The Italian Job,2003
28 Weeks Later,2007
Ice Age: Continental Drift,2012
De laatste dagen van Emma Blank,2009
All the King's Men,2007
Où va la nuit (The Long Falling),2011
McLibel,2007
Death Race,2008
Vantage Point,2008
Chô gekijô-ban Keroro gunsô (Keroro Gunso the Super Movie) (2006),2006
Double zéro,2004
Majo no takkyûbin (Kiki's Delivery Service),2007
Evan Almighty,2007
Blue Valentine,2011
Ghost World,2002
Never Back Down,2008
Trésor,2009
The Spiderwick Chronicles,2008
L'art d'aimer,2012
Dylan Dog: Dead of Night,2011
The Words,2012
Venus,2006
ParaNorman,2012
Stop-Loss,2008
Die Hohle des gelben Hundes (Cave of the Yellow Dog),2006
The Avengers (2012),2012
The Dish,2002
Money Hai Toh Honey Hai,2008
Rambo,2008
The Karate Kid,2010
Extremely Loud & Incredibly Close,2012
POM Wonderful Presents: The Greatest Movie Ever Sold,2011
Lilla spöket Laban,2008
All the King's Men,2006
The Wind That Shakes the Barley,2008
The Hurt Locker,2010
Aleksandra,2008
Halloween (2007),2007
Johnny English Reborn,2011
Le Pacte des loups (Brotherhood of the Wolf),2002
"Gaturro, la pelicula",2012
The Incredibles,2004
Avatar: Special Edition,2010
Svein og Rotta og UFO-mysteriet,2008
12 Rounds,2009
I Spy,2003
The Assassination of Jesse James by the Coward Robert Ford,2007
Bait (2012),2012
De-Lovely,2004
The Others,2002
360,2012
Black Death,2010
The Road,2009
La Môme (La Vie en Rose),2007
Cowboys & Aliens,2011
Paintball,2010
The Affair of the Necklace,2001
Glyanets (Gloss),2007
Anna Karenina,2012
Zombieland,2009
Flyboys,2007
The Game Plan,2008
Scary Movie 3,2003
Bedtime Stories,2009
Charlie Wilson's War,2008
Little Man,2006
Smokin' Aces,2007
The Death and Life of Bobby Z,2007
Capitalism: A Love Story,2009
Scoop,2007
Anata wo wasurenai (26 Years Diary),2007
Couples Retreat,2009
The Dilemma,2011
Little Miss Sunshine,2006
G-Force,2009
Bend It Like Beckham,2002
Underworld: Rise of the Lycans,2009
Meng you 3D (Sleepwalker),2011
Svinalängorna (Beyond),2010
Inside Job,2011
The Other Guys,2010
Saw VI,2009
Panic Room,2002
Music and Lyrics,2007
Thank You for Smoking,2006
Passengers,2009
Drag Me to Hell,2009
The Order,2004
Oi dut hei (Give Love),2009
The Lion King (in 3D),2012
Gulliver's Travels,2010
Michael Clayton,2007
House Full,2010
Tropa de Elite (Elite Squad),2008
Wild Target,2011
In Her Shoes,2006
Légitime défense (Final Balance),2011
In Time,2011
School of Rock,2004
Kilómetro 31,2008
Couples Retreat,2009
Love Actually,2003
The Day the Earth Stood Still (2008),2008
L'arnacoeur (Heartbreaker),2010
A Mighty Wind,2003
Star Trek: Nemesis,2003
Il Caimano,2007
Fred Claus,2007
The Tailor of Panama,2001
Moneyball,2011
Home on the Range,2004
Argo,2012
Death at a Funeral,2007
Désaccord parfait,2008
Amazing Grace,2008
Krabat,2009
Martian Child,2007
One Day,2011
Old Dogs,2009
Venkovský ucitel,2008
The Wolfman,2010
Be Cool,2005
Wasao,2011
Urmel aus dem Eis,2008
Basic,2003
Underworld: Rise of the Lycans,2009
Pride & Glory,2008
40 Days and 40 Nights,2002
Lord of War,2006
Captivity,2007
Fright Night (2011),2011
Hero of the Rails,2010
An Education,2010
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006
One Day,2012
L'Autre,2009
A Nightmare on Elm Street (2010),2010
Les aventures extraordinaires d'Adèle Blanc-Sec (The Extraordinary Adventures of Adèle Blanc-Sec),2010
Une vieille maîtresse (The Last Mistress),2008
The Good Heart,2010
Bad Teacher,2011
Savages (2012),2012
South of the Border,2010
The Sisterhood of the Traveling Pants,2005
The Switch,2010
Burning Plain,2010
Water for Elephants,2011
Happy-Go-Lucky,2008
Beowulf,2007
Eiga Doraemon: Nobita to kiseki no shima - Animaru adobenchâ,2012
The Lake House,2006
Hana yori dango: Fainaru (Boys Over Flowers: Final),2008
The Hours,2003
The Mutant Chronicles,2008
Rule Number One,2008
I Am Love,2010
Little Children,2007
Black Swan,2011
The Bucket List,2008
Frankenweenie,2012
I Love You Beth Cooper,2009
The Rules of Attraction,2003
Win Win,2011
The Hunted,2003
Niko - Lentäjän poika (Niko & The Way to the Stars),2009
Sinterklaas en de verdwenen pakjesboot,2009
The Island,2005
One For the Money,2012
Alien vs. Predator - Requiem,2008
The Rum Diary,2011
Bridge to Terabithia,2007
Melinda and Melinda,2005
The Next Three Days,2010
Whip It,2010
LOL,2012
Pride & Glory,2009
The Children of Huang Shi,2008
The Road to Guantanamo,2006
Tyler Perry's Why Did I Get Married Too?,2010
The Pink Panther 2,2009
Tau ming chong (The Warlords),2007
7 días en La Habana,2012
Confidence,2003
Cats & Dogs: Revenge of Kitty Galore,2010
Sieben Mulden und eine Leiche,2008
The Big White,2008
Postia pappi Jaakobille (Letters to Father Jacob),2012
Supercross,2005
Quick,2012
Personal Effects,2009
El Abrazo partido (Lost Embrace),2004
De Unge år: Erik Nietzsche sagaen del 1,2009
Beneath Hill 60,2010
Haeundae,2009
Nueve Reinas (Nine Queens),2002
J'ai tué ma mère,2009
Skin,2010
That's My Boy,2012
Finding Nemo (in 3D),2012
Lockout,2012
Shootout at Lokhandwala,2007
Open Season 3,2011
Hesher,2011
Lady in the Water,2006
Birthday Girl,2003
Jurassic Park III,2001
Polisse,2012
One Hour Photo,2002
Daikessen! Chô urutora 8 kyôdai (The Superior 8 Ultraman Brothers),2008
American Dreamz,2006
Star Trek,2009
The Magdalene Sisters,2002
Up the Yangtze,2008
You Will Meet a Tall Dark Stranger,2010
The Ides of March,2012
Contraband,2012
Love Actually,2004
The Descent,2006
Harry Potter and the Sorcerer's Stone,2001
Judgment at Nuremberg (1961) (Re),2008
I Capture the Castle,2003
The Other Man,2010
El delfín: La historia de un soñador (The Dolphin: Story of a Dreamer),2009
Take the Lead,2006
L'arnacoeur (Heartbreaker),2010
Far From Heaven,2003
Liebe Mauer,2009
Hannibal Rising,2007
Kak ya provyol etim letom (How I Ended This Summer),2011
Raise Your Voice,2006
Vals Im Bashir (Waltz with Bashir),2009
The Five-Year Engagement,2012
Smokin' Aces,2007
Pineapple Express,2008
Just Friends,2006
How to Train Your Dragon,2010
The Hitcher (2007),2008
We Bought a Zoo,2012
J. Edgar,2012
Frozen,2011
Beaufort,2008
Bitwa warszawska 1920 (Battle of Warsaw 1920),2011
Entre les murs (The Class),2010
Wedding Daze,2008
Ladder 49,2004
Das Hochzeitsvideo,2012
Siegfried (Met Opera),2011
Ted,2012
Bibi Blocksberg und das Geheimnis der blauen Eulen,2005
Come l'ombra,2007
Underworld Awakening,2012
The Science of Sleep,2006
Mirrors,2008
Sorority Row,2009
The Pink Panther 2,2009
The Bourne Legacy,2012
Pollock,2003
Gamer (2009),2009
Wolke Neun,2008
The Bounty Hunter,2010
Cars,2006
Intimacy,2002
The Bourne Ultimatum,2007
Copacabana,2010
Breakaway,2011
La Graine et le mulet (The Secret of the Grain),2009
Sukkar banat (Caramel),2008
XXX,2002
Guca!,2008
The Joneses,2010
The Grey,2012
Deja Vu,2007
Shark Bait (a.k.a. The Reef),2007
Safe House,2012
The Exorcism of Emily Rose,2005
Bienvenue parmi nous,2012
Fur: An Imaginary Portrait of Diane Arbus,2007
Hearts in Atlantis,2001
Ocean Wonderland,2004
Kunsten å tenke negativt (The Art of Negative Thinking),2008
Kan shang qu hen mei (Little Red Flowers),2006
7 Khoon Maaf,2011
Tyler Perry's Madea's Witness Protection,2012
Éloge de l'amour (In Praise of Love),2007
The Lovely Bones,2010
Don't Be Afraid of the Dark,2011
All the Boys Love Mandy Lane,2009
Gulliver's Travels,2011
Enchanted,2008
"Si jie (Lust, Caution)",2008
Arthur (2011),2011
Fat Girl,2001
Spanglish,2005
Timeline,2004
Coeurs (Private Fears in Public Places),2007
My Week with Marilyn,2011
Bedtime Stories,2009
Zack and Miri Make a Porno,2008
Kabuli kid,2009
Cumbia callera,2008
Vratné lahve,2009
The Ghost Writer,2010
Yip Man 2: Chung si chuen kei,2010
Vampires Suck,2010
The Young Victoria,2009
Vera Drake,2004
Johnny English Reborn,2011
Happy-Go-Lucky,2008
On the Road,2012
Osama,2004
Attack the Block,2011
Strange Wilderness,2008
The Cats of Mirikitani,2008
Hostel,2006
The Matrix Reloaded,2003
Marebito,2006
Ruby Sparks,2012
Coraline,2009
Season of the Witch,2011
Bait (2012),2012
Martian Child,2008
Blueberry,2004
Scary Movie 3,2004
Les émotifs anonymes,2011
Spartan,2004
American Reunion,2012
Magic Mike,2012
The Great Dictator (Re),2002
Pon (Phone),2003
Leatherheads,2008
How to Lose Friends and Alienate People,2009
Doo Saramida (Someone Behind You),2008
Metoroporisu (Metropolis),2002
The Cave,2006
Das Sandmännchen - Abenteuer im Traumland (The Sandman and the Lost Sand of Dreams),2011
The Messengers,2007
Frost/Nixon,2009
The Dilemma,2011
Jackie,2012
In Time,2011
Nanny McPhee,2006
The Way Back,2012
No Reservations,2007
Looney Tunes: Back in Action,2003
Import/Export,2008
The Mist,2008
Rush Hour 3,2007
Shorts,2009
The Hobbit: An Unexpected Journey,2012
The Matador,2005
Napoleon Dynamite,2005
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005
Legally Blonde,2002
Ratatouille,2007
Underworld,2004
Unleashed,2005
Winx Club 3D: Magic Adventure,2012
Pettson & Findus - Glömligheter,2010
7 Zwerge (Seven Dwarves),2006
Riding in Cars with Boys,2002
In Bruges,2009
Black Snake Moan,2007
Tim Burton's The Nightmare Before Christmas in 3-D (2009 re-issue),2009
20-seiki shônen: Dai 2 shô - Saigo no kibô (Twentieth Century Boys: Chapter Two),2009
Inosensu: Kôkaku kidôtai (Ghost in the Shell 2: Innocence),2006
Sex and the City 2,2010
300,2007
Starsky and Hutch,2004
Shackleton's Antarctic Adventure (IMAX),2001
Bienvenue à bord,2011
Animal Kingdom,2011
The Imposter,2012
Texas Rangers,2002
Cowboys & Aliens,2011
Canicula,2002
Black Swan,2011
Habermann,2011
Je veux voir,2008
Die Another Day,2003
Das Leben der Anderen (The Lives of Others),2007
Get Rich or Die Tryin',2006
Up,2009
Shôrin shôjo (Shaolin Girl),2008
The Devil Inside,2012
Chi bi (Red Cliff: Part I),2010
38 témoins,2012
True Grit,2011
Madagascar,2005
The Bourne Identity,2002
Guan lan (Kung Fu Dunk),2008
One For the Money,2012
Larry Crowne,2011
Armored,2010
Another Year,2010
Ne le dis à personne (Tell No One),2010
Cheerful Weather for the Wedding,2012
Guess Who,2005
Underworld,2004
Var inte rädd Långa farbrorn,2011
Harry Potter and the Deathly Hallows (Part One),2010
Okuribito (Departures),2010
"Piano, solo",2007
Shrink,2010
I Know Who Killed Me,2008
The Animal,2001
Bobby,2007
Doraemon: Nobita to Midori no kyojinten (2008),2008
Over Her Dead Body,2008
"Kerity, la maison des contes",2010
Bully,2002
Harry Potter and the Deathly Hallows (Part Two),2011
Lantana,2001
Blue Crush,2002
Let Me In,2011
Le gamin au vélo,2011
Ghost Ship,2003
Gone,2012
Mulholland Drive,2001
Iraq in Fragments,2007
Frozen River,2009
Mr. Popper's Penguins,2011
"Legally Blonde 2: Red, White and Blonde",2003
Ratatouille,2007
Harry Potter and the Order of the Phoenix,2007
Les femmes du 6ème étage,2011
The Aviator,2005
Sleuth (2007),2008
L'Enfant (The Child),2006
The Lovely Bones,2010
And Soon the Darkness,2011
Dream House,2011
The Impossible,2012
The Brave One,2007
[REC] 3: Génesis,2012
Cars,2006
Frailty,2002
Paris (2008),2008
Rang De Basanti,2006
Lourdes,2010
Un cuento chino,2012
Jack and Jill,2012
Carlos,2011
Percy Jackson & The Olympians: The Lightning Thief,2010
StreetDance 2,2012
The Last Samurai,2004
Kirikou et les bêtes sauvages,2007
Gelegenheitsarbeit einer Sklavin (1973) (Re),2008
Knowing,2009
Never Back Down,2008
Willard,2003
Lockout,2012
Windtalkers,2002
Hodejegerne (Headhunters),2012
Le Premier cercle,2010
La Doublure (The Valet),2006
Couples Retreat,2009
Dreamer: Inspired by a True Story,2006
Brick Lane,2008
De laatste dagen van Emma Blank,2010
Season of the Witch,2011
Melancholia,2011
I Love You Man,2009
Das Doppelte Lottchen,2007
La León,2009
Torque,2004
Take the Lead,2006
Apocalypse Now Redux,2001
"Hexe Lilli, der Drache und das magische Buch",2009
La prima linea,2010
Everything Is Illuminated,2005
Panique au village,2009
Green Lantern,2011
Piranha 3D,2010
Enfances,2009
Clerks II,2007
Simon Werner a disparu... (Lights Out),2010
Shrek the Third,2007
Ocean's Thirteen,2007
Insidious,2011
Riders,2002
Puss in Boots,2012
Vals Im Bashir (Waltz with Bashir),2009
Laitakaupungin valot (Lights in the Dusk),2007
El Custodio,2007
Magic Mike,2012
Vicky Cristina Barcelona,2009
The Queen,2007
The Darkest Hour,2011
The Brøken,2009
Kurtlar vadisi: Gladio,2009
Yes Man,2009
Paradaisu kisu (Paradise Kiss),2011
Confetti,2006
Skrapp út (Back Soon),2009
Akmareul boattda (I Saw the Devil),2011
99 francs,2007
Trouble with the Curve,2012
The Spiderwick Chronicles,2008
Sky Captain and the World of Tomorrow,2004
Kokuriko-zaka kara,2012
Skyfall,2012
The Mist,2008
Metallica: Some Kind of Monster,2004
Contagion,2011
The Cove,2010
Cashback,2007
Joe Strummer: The Future Is Unwritten,2007
Little Black Book,2004
En ganske snill mann (A Somewhat Gentle Man),2011
The Switch,2010
Etz Limon (Lemon Tree),2008
Grabbers,2012
Asbe du-pa,2009
Dumb and Dumberer: When Harry Met Lloyd,2003
Journey 2: The Mysterious Island,2012
Dr. Seuss' The Lorax,2012
Star Wars: Episode III - Revenge of the Sith,2005
Made of Honor,2008
Elizabeth: The Golden Age,2007
Martian Child,2008
Safe House,2012
North Country,2006
Les mains en l'air,2010
Religulous,2009
Hotaru,2002
The Great Dictator (Re),2002
Bridge to Terabithia,2007
Persepolis,2008
City by the Sea,2003
The Expendables,2010
Matchstick Men,2003
Alien: The Director's Cut,2003
Kurtlar Vadisi Filistin (Valley of the Wolves: Palestine),2011
Ricky (2009),2010
Public Enemies,2009
Rinne (Reincarnation),2006
Män som hatar kvinnor (The Girl with the Dragon Tattoo),2009
The Hitcher (2007),2007
King Kong,2005
Sicko,2008
Shortbus,2007
Melinda and Melinda,2004
The Queen,2006
Mae Nak 3D,2012
Gospoda ofitsery: Spasti imperatora,2008
The Rules of Attraction,2004
Sunshine Cleaning,2009
Changeling,2009
The Scorpion King,2008
The Dilemma,2011
Saw V,2009
Australia,2008
Constantine,2005
Leaving (Partir),2012
Ghajini,2008
The Pursuit of Happyness,2007
Kuch Naa Kaho,2003
Walk the Line,2006
Public Enemies,2009
28 Days Later,2002
Little Fockers,2010
Sweet Sixteen,2003
Astérix aux jeux olympiques,2009
Adventureland,2009
White Noise 2: The Light,2007
Darwin's Nightmare,2005
Kansen rettô,2009
Restrepo,2010
Les Animaux amoureux,2008
G-Force,2010
The Guard,2011
Lebanon,2010
The House Bunny,2008
Journey 2: The Mysterious Island,2012
Diva,2009
Mann tut was Mann kann,2012
30 Kam Lung Jaew,2011
The International,2009
The Whole Ten Yards,2004
Garfield's Pet Force,2010
Forumla 51,2002
Melancholia,2011
My Mom's New Boyfriend (a.k.a. Homeland Security),2009
Snabba Cash (Easy Money),2010
Contre-enquête,2008
En la ciudad,2003
Contagion,2011
Open Range,2004
In Between Days,2007
One Day,2011
Gulliver's Travels,2011
I Now Pronounce You Chuck and Larry,2007
Children of Men,2006
Les Temps qui changent (Changing Times),2007
La fille du puisatier (The Well Digger's Daughter),2011
The Boy in the Striped Pajamas,2009
Fetih 1453,2012
Den Radio (Radio Day),2008
Dnevnoy dozor (Day Watch),2007
Nuovomondo (The Golden Door),2007
Luck,2009
The Missing,2004
Salt,2010
Water for Elephants,2011
Die Another Day,2002
Pars vite et reviens tard (Seeds of Death),2007
The Bucket List,2008
Carandiru,2004
Goal! 2: Living the Dream...,2008
Sky High,2005
Act of Valor,2012
Le chat du rabbin (The Rabbi's Cat),2011
Triangle,2009
Introducing the Dwights (a.ka. Clubland),2008
Shark Tale,2004
Mysterious Skin,2005
Dave Chappelle's Block Party,2006
The Day the Earth Stood Still (2008),2008
Monsters Vs. Aliens,2009
Alfie,2005
Lou Reed's Berlin,2008
Mr. Brooks,2007
Master and Commander: The Far Side of the World,2003
Sanctum (3D),2011
El Cielo dividido (Broken Sky),2007
Cashback,2007
Jackass 3-D,2010
Something's Gotta Give,2004
Kolpaçino,2009
Journey to the Center of the Earth,2008
TMNT,2007
Rowdy Rathore,2012
Enigma,2002
Meet Dave,2008
De rouille et d'os (Rust and Bone),2012
Street Fighter: The Legend of Chun-Li,2009
Shutter Island,2010
Bug,2007
Scoop,2007
"I, Robot",2004
Atithi Tum Kab Jaoge,2010
The Campaign,2012
Valentine's Day,2010
Black Gold,2006
The Forbidden Kingdom,2010
A Few Best Men,2012
Hände weg von Mississippi,2007
Penelope,2009
Rumor Has It,2006
The Triumph of Love,2002
Moonrise Kingdom,2012
The Ruins,2008
Happy Feet,2007
Des hommes et des dieux (Of Gods and Men),2011
Chloe,2010
Respiro,2003
Avatar: Special Edition,2010
Eyyvah eyvah,2010
Goya's Ghosts,2007
Observe and Report,2009
Dað,2012
Grindhouse: Planet Terror,2007
Good Dick,2008
Broken Flowers,2005
Step Up,2006
Bubble,2006
Nacido y criado (Born and Bred),2006
Prom Night (2008),2008
La doppia ora,2011
Clean,2006
Bedtime Stories,2008
Anvil! The Story of Anvil,2010
21 Jump Street,2012
Drive (2011),2011
Rakchan Yakidtungchan (I Miss You),2012
The Invasion,2007
The Best Exotic Marigold Hotel,2012
The Rookie,2003
Hotel for Dogs,2009
Rumba,2008
Wedding Daze,2007
Eagle Eye,2008
Bollywood/Hollywood (USA),2003
Jason Becker: Not Dead Yet,2012
Endgame,2009
Babylon A.D.,2008
A Thousand Good Years of Prayers,2010
Generation P (Wow!),2011
Three and Out,2008
Reservation Road,2008
Death Sentence,2007
La Stanza del figlio (The Son's Room),2002
The Way Back,2011
Kill Bill Vol. 1,2003
Samâwôzu (Summer Wars),2010
L'Instinct de mort,2008
Draquila - L'Italia che trema,2010
Alvin and the Chipmunks: The Squeakquel,2009
The Three Musketeers (2011),2011
The Cold Light of Day,2012
Ji keung hei si 2011 (All's Well That End's Well),2011
Kod apokalipsisa (Apocalypse Code),2008
Long nga (Legendary Assassin),2008
Angel-A,2008
